Codice,Descrizione,Valore
VAR.MON.00057,FINGER QUADRATO CELLULOSA 120CC 50PZ,51.0
FOO.LAT.00006,RICOTTA,45.0
FOO.SSA.00025,PANINO MINI BUN 50 PZ,23.3
FOO.SSA.00009,PIZZA MARGHERITA MINI 25GRX2 KG,19.9
FOO.SSA.00024,PURE' DI PATATE PFANNI,17.5
VAR.MON.00055,FINGER QUADRATO CELLULOSA 65X65MM 50PZ,17.5
FOO.LAT.00005,PROVOLA,15.0
FOO.LAT.00011,TRECCIONI DI MOZZARELLA,15.0
FOO.LAT.00014,SFOGLIA DI MOZZARELLA 1KG,15.0
FOO.PAN.00012,PANE PELATONE 12X12 33FETTEX6 CF,13.6
