Reparto,Valore
BARBEACH,34019.0603
BRK,122002.3569
CANTINA,21944.7979
CUCINA,37139.1765
DIPEND,6459.4226
EVENTI,2770.3618
EVENTO,397.92269999999996
EVENTOLU,268.137
EVENTORE,100.1
HSKCVM,988.4242
HSKHOTEL,22473.6888
HSKRES,4750.8242
IMBARCAZ,370.0084
MANCVM,1.62
MANHOTEL,6623.2127
MANRESID,64.226
POOLHTL,895.6252
POOLRES,2890.1514
PROPRIET,6496.7216
RECEP,822.1234000000001
UFFICI,344.6883
