Codice,Descrizione,Valore
BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,2913.8192
BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,2454.7951
FOO.SNS.00001,PATATINE PER APERITIVO,1045.4293
BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,673.2
BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,595.5218
FOO.PAN.00008,PANINI FARINA BIANCA GR 40,593.5064
BEV.APE.00003,APEROL,590.9863
FOO.PAN.00009,PANINI INTEGRALI GR 40,580.4474
FOO.SNS.00003,OLIVE VERDI,496.4071
BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,460.8006
