Reparto,Classe,Categoria,Valore
CANTINA,FOOD - ,SPEZIECO - ,326.0
CANTINA,FOOD - ,OLIO - ,216.0
CANTINA,FOOD - ,SEMILDOL - ,153.0
CANTINA,FOOD - ,FRUTTSEC - ,104.10000000000001
CANTINA,FOOD - ,ORTAGGI - ,103.5202
CANTINA,FOOD - ,MONODOLC - ,7.4462
CANTINA,FOOD - ,PASTICCE - ,3.2227
CANTINA,PULIZIA - ,DETERGEN - ,457.68100000000004
CANTINA,VARIE - ,MONOUSO - ,265.1421
CANTINA,VARIE - ,RICECONS - ,63.5673
CANTINA,VARIE - ,CANCELLE - ,31.0601
CANTINA,VARIE - ,CARTBUSA - ,11.25
CANTINA,VARIE - ,CANPERS - ,6.5625
CUCINA,BEVERAGE - ,VINOBIAN - ,18.7086
CUCINA,BEVERAGE - ,LATTE - ,12.16
CUCINA,FOOD - ,PESCEFRE - ,8096.4003
CUCINA,FOOD - ,PESCESUR - ,4607.4591
CUCINA,FOOD - ,ORTAGGI - ,3178.1799
CUCINA,FOOD - ,CARNEROS - ,2410.8646
CUCINA,FOOD - ,OLIO - ,2113.645
CUCINA,FOOD - ,SEMILSAL - ,1969.4144000000001
CUCINA,FOOD - ,CARNEBIA - ,1828.4834
CUCINA,FOOD - ,LATTICIN - ,1587.4698
CUCINA,FOOD - ,SALUMI - ,1077.1452
CUCINA,FOOD - ,SCATOLAM - ,1023.8711
CUCINA,FOOD - ,FORMAGG - ,1006.8742
CUCINA,FOOD - ,PASTAFRE - ,861.56
CUCINA,FOOD - ,FRUTTFRE - ,612.8481
CUCINA,FOOD - ,PANE - ,577.3288
CUCINA,FOOD - ,PASTICCE - ,400.5354
CUCINA,FOOD - ,GELATVAS - ,345.4
CUCINA,FOOD - ,SPEZIECO - ,337.9839
CUCINA,FOOD - ,RISO - ,281.6895
CUCINA,FOOD - ,FRUTTSEC - ,216.2
CUCINA,FOOD - ,SNACKSAL - ,209.805
CUCINA,FOOD - ,PASTAGRA - ,198.11690000000002
CUCINA,FOOD - ,BURR - ,197.27620000000002
CUCINA,FOOD - ,SEMILDOL - ,195.6
CUCINA,FOOD - ,VERDURA - ,160.579
CUCINA,FOOD - ,FARINA - ,127.8846
CUCINA,FOOD - ,CEREALI - ,37.581100000000006
CUCINA,FOOD - ,MONODOLC - ,35.713499999999996
CUCINA,PULIZIA - ,DETERGEN - ,1705.0789
CUCINA,PULIZIA - ,STRPULIZ - ,405.71410000000003
CUCINA,VARIE - ,CARTBUSA - ,843.7539
CUCINA,VARIE - ,PROCUCIN - ,369.6852
CUCINA,VARIE - ,MONOUSO - ,71.4516
CUCINA,VARIE - ,MAT.VARI - ,8.61
CUCINA,VARIE - ,CANCELLE - ,5.6052
CUCINA,VARIE - ,AMENCAME - ,2.5
DIPEND,BEVERAGE - ,CAFFETT - ,645.0357
DIPEND,BEVERAGE - ,ACQUA - ,354.6385
DIPEND,BEVERAGE - ,SOFDRINK - ,32.3086
DIPEND,BEVERAGE - ,VINBOLL - ,10.623
DIPEND,BEVERAGE - ,LATTE - ,1.1843
DIPEND,FOOD - ,CARNEBIA - ,877.2596
DIPEND,FOOD - ,PESCESUR - ,866.97
DIPEND,FOOD - ,SCATOLAM - ,722.7794
DIPEND,FOOD - ,CARNEROS - ,588.952
DIPEND,FOOD - ,SEMILSAL - ,365.3795
DIPEND,FOOD - ,PASTAGRA - ,329.3132
DIPEND,FOOD - ,SEMILDOL - ,234.1198
DIPEND,FOOD - ,ORTAGGI - ,209.8389
DIPEND,FOOD - ,SPEZIECO - ,119.1347
DIPEND,FOOD - ,SNACKSAL - ,92.4926
DIPEND,FOOD - ,FORMAGG - ,91.3943
DIPEND,FOOD - ,FRUTTFRE - ,65.95
DIPEND,FOOD - ,MONODOLC - ,62.6255
DIPEND,FOOD - ,RISO - ,55.711099999999995
DIPEND,FOOD - ,OLIO - ,46.2
DIPEND,FOOD - ,GELATCON - ,38.85
DIPEND,FOOD - ,LATTICIN - ,30.0
