Reparto,Classe,Categoria,Codice,Descrizione,Valore,Mese,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Anno
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00011,POST-IT 76X76MM,2.1262,04,PZ,PZ,12.0,1.0631,2,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00016,SCOTCH 19MMX33M,0.5179,04,PZ,PZ,1.0,0.5179,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,1.5914,04,PZ,PZ,0.0,0.3353,3,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,0.9417,04,CF,CF,1.0,0.4954,2,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,5.6688,05,BT,BT,1.0,0.1496,48,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,41.4807,05,BT,BT,1.0,0.15,276,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,7.9575,05,PZ,PZ,0.0,0.3353,15,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,2.0017,05,CF,CF,1.0,0.4954,3,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,17.6562,08,BT,BT,1.0,0.1496,119,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,59.7,08,BT,BT,1.0,0.15,398,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00012,POST-IT 50X38MM,9.928,08,PZ,PZ,1.0,0.4964,20,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,26.6,08,PZ,PZ,0.0,1.4,19,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,4.3589,08,PZ,PZ,0.0,0.3353,13,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00028,FALDINE PERFORATE TRASPARENTI 22X30 CM,1.3943,08,CF,CF,1.0,1.3943,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00045,BUSTE BIANCHE AUTOADESIVE 1CFX25PZ,1.63,08,CF,PZ,25.0,1.63,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00050,ETICHETTE CHECK-OUT,8.05,08,PZ,PZ,1.0,0.0161,500,2024
RECEP,VARIE - ,CANPERS - ,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,10.0625,08,PZ,PZ,1.0,0.4375,23,2024
RECEP,VARIE - ,CANPERS - ,VAR.CPE.00012,BIGLIETTINI DA VISITA DIPENDENTI,10.0,08,PZ,PZ,1.0,0.1,100,2024
RECEP,VARIE - ,CARTBUSA - ,VAR.CAR.00013,CARTA A4 500PZX4CF,5.98,08,CF,CF,1.0,3.0515,2,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,2.376,08,CF,CF,1.0,0.4954,3,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,5.3859,10,BT,BT,1.0,0.1496,36,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,23.4,10,BT,BT,1.0,0.15,156,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,0.385,10,CF,CF,1.0,0.385,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,0.7778,10,PZ,PZ,1.0,0.3889,2,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00011,POST-IT 76X76MM,1.0631,10,PZ,PZ,12.0,1.0631,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00018,SCOTCH 50MMX66M,1.4013,10,PZ,PZ,1.0,1.4013,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,8.4,10,PZ,PZ,0.0,1.4,6,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,1.92,10,CF,CF,1.0,1.92,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00043,FORBICI DA UFFICIO WESTCOTT,1.55,10,PZ,PZ,1.0,1.55,1,2024
RECEP,VARIE - ,CANPERS - ,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,5.25,10,PZ,PZ,1.0,0.4375,12,2024
RECEP,VARIE - ,CARTBUSA - ,VAR.CAR.00013,CARTA A4 500PZX4CF,12.2062,10,CF,CF,1.0,3.0515,4,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,0.9907,10,CF,CF,1.0,0.4954,2,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,5.3424,09,BT,BT,1.0,0.1496,36,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,61.2,09,BT,BT,1.0,0.15,408,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00011,POST-IT 76X76MM,1.0631,09,PZ,PZ,12.0,1.0631,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,22.4,09,PZ,PZ,0.0,1.4,16,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,17.1003,09,PZ,PZ,0.0,0.3353,51,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,1.92,09,CF,CF,1.0,1.92,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00050,ETICHETTE CHECK-OUT,16.1,09,PZ,PZ,1.0,0.0161,1000,2024
RECEP,VARIE - ,CANPERS - ,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,16.625,09,PZ,PZ,1.0,0.4375,38,2024
RECEP,VARIE - ,CARTBUSA - ,VAR.CAR.00013,CARTA A4 500PZX4CF,38.87,09,CF,CF,1.0,3.0515,13,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,2.376,09,CF,CF,1.0,0.4954,3,2024
CANTINA,BEVERAGE - ,ACQUA - ,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,73.2425,07,BT,BT,1.0,0.4675,162,2024
CANTINA,BEVERAGE - ,ACQUA - ,BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,141.3568,07,BT,BT,1.0,0.4781,303,2024
CANTINA,BEVERAGE - ,AMARI - ,BEV.AMA.00006,AMARO AVERNA 1 LT,3.248,07,LT,CL,100.0,16.24,0.2,2024
CANTINA,BEVERAGE - ,AMARI - ,BEV.AMA.00007,AMARO DISARONNO 1 LT.,8.2,07,LT,CL,100.0,16.45,0.5,2024
CANTINA,BEVERAGE - ,APERITIV - ,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,0.944,07,BT,BT,1.0,0.3371,2,2024
CANTINA,BEVERAGE - ,APERITIV - ,BEV.APE.00003,APEROL,186.0513,07,LT,CL,100.0,10.9442,17,2024
CANTINA,BEVERAGE - ,APERITIV - ,BEV.APE.00004,CRODINO 10CL X 48,5.3427,07,BT,BT,1.0,0.4681,11,2024
CANTINA,BEVERAGE - ,APERITIV - ,BEV.APE.00006,CAMPARI,33.5248,07,LT,CL,100.0,16.7624,2,2024
CANTINA,BEVERAGE - ,APERITIV - ,BEV.APE.00008,MARTINI ROSSO,6.5707,07,LT,CL,100.0,6.5707,1,2024
CANTINA,BEVERAGE - ,BIRRE - ,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,43.4106,07,BT,BT,1.0,0.7535,60,2024
CANTINA,BEVERAGE - ,BIRRE - ,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,27.322,07,BT,BT,1.0,0.8772,31,2024
CANTINA,BEVERAGE - ,BIRRE - ,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,7.0365,07,PZ,PZ,1.0,1.4671,5,2024
CANTINA,BEVERAGE - ,BIRRE - ,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,473.0,07,LT,CL,100.0,3.9494,120,2024
CANTINA,BEVERAGE - ,BIRRE - ,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,16.0198,07,BT,BT,1.0,1.1021,15,2024
CANTINA,BEVERAGE - ,CAFFETT - ,BEV.CAF.00003,CAFFE IN GRANI,34.0,07,KG,GR,1000.0,17.0,2,2024
