Codice,Descrizione,Valore
FOO.CBI.00001,PETTO DI POLLO INTERO,94.862
FOO.CRO.00004,REALE BOVINO ADULTO SV,73.5
BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,57.5836
FOO.PPP.00022,MASCARPONE 500GR,38.7
FOO.SDO.00060,BABBA',25.2
BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,19.8
FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,15.0
VAR.MON.00059,PIROTTINI PER BABBA',13.5
FOO.PPP.00021,SAVOIARDI GR 300,10.8
FOO.ORT.0009,INSALATA ICEBERG,10.6864
