Codice,Descrizione,Valore
FOO.CBI.00002,COSCIOTTI DI POLLO,666.6709
BEV.CAF.00003,CAFFE IN GRANI,561.0
FOO.PSU.00001,FILETTI DI MERLUZZO,546.7502999999999
FOO.CRO.00002,LONZA DI MAIALE,481.212
FOO.PSU.00002,BASTONCINI DI MERLUZZO,320.2197
FOO.SSA.00014,CORDON BLUE,300.6
BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,292.1485
FOO.SCA.00013,TONNO' 80GR,201.1129
VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,187.6067
VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,178.2918
