Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo_Periodo,Secondo_Periodo,Valore,Mese,Anno,Row_Type,Reparto_Dir,Reparto_Filled,Classe_Filled,Categoria_Filled
,,MONOUSO - ,,,,,,,,3.336,3.336,3.336,06,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,5,3.336,3.336,3.336,06,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,81.6219,81.6219,81.6219,06,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
RECEP,,,,,,,,,,205.5645,205.5645,205.5645,07,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,75.3066,75.3066,75.3066,07,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,75.3066,75.3066,75.3066,07,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,49,7.1917,7.1917,7.1917,07,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,454,68.1149,68.1149,68.1149,07,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,VARIE - ,,,,,,,,,130.2579,130.2579,130.2579,07,2024,Classe,RECEP,RECEP,VARIE - ,
,,CANCELLE - ,,,,,,,,45.8314,45.8314,45.8314,07,2024,Categoria,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,1,0.385,0.385,0.385,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,2,0.7778,0.7778,0.7778,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631,1.0631,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00012,POST-IT 50X38MM,PZ,PZ,1.0,0.4964,10,4.964,4.964,4.964,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,65,21.7943,21.7943,21.7943,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00028,FALDINE PERFORATE TRASPARENTI 22X30 CM,CF,CF,1.0,1.3943,4,5.5772,5.5772,5.5772,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,700,11.27,11.27,11.27,07,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,CANPERS - ,,,,,,,,24.0625,24.0625,24.0625,07,2024,Categoria,RECEP,RECEP,VARIE - ,CANPERS - 
