Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo_Periodo,Secondo_Periodo,Valore,Mese,Anno,Row_Type,Reparto_Dir,Reparto_Filled,Classe_Filled,Categoria_Filled
,,,FOO.SAL.00010,SALAME NAPOLI,KG,GR,1000.0,12.03,3,36.09,36.09,36.09,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SALUMI - 
,,SCATOLAM - ,,,,,,,,72.32,72.32,72.32,10,2024,Categoria,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00002,MAIS IN SCATOLA 326GRX24PZ,PZ,PZ,1.0,1.1372,14,15.9208,15.9208,15.9208,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00005,FUNGHI CHAMPIGNON 400GRX24PZ,PZ,PZ,1.0,0.5,24,12.0,12.0,12.0,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00015,"PELATI 2,5KG",PZ,PZ,1.0,1.5428,14,21.5992,21.5992,21.5992,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00017,TONNO VIANDER KG 1,KG,GR,1000.0,10.0,1.5,15.0,15.0,15.0,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00021,FUNGHI CAMPIGNON 1KG,PZ,PZ,1.0,1.95,4,7.8,7.8,7.8,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,SEMILSAL - ,,,,,,,,239.547,239.547,239.547,10,2024,Categoria,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00010,FRITTO MISTO 6KG,KG,KG,1.0,7.179,10.5,75.3797,75.3797,75.3797,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00018,FOCACCIA TRANCIO 180GR 10CFX3PZ,CF,CF,1.0,5.0,6,30.0,30.0,30.0,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00019,"PATATE DIPPERS 2,5 KG X 4 PZ",KG,GR,1000.0,2.8698,25,71.745,71.745,71.745,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00020,"PIZZA MARGHERITA 1,2KGX4PZ",PZ,PZ,1.0,6.5308,3,19.5924,19.5924,19.5924,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00021,FOCACCIA CAPRESE 360GRX6PZ,PZ,PZ,1.0,4.5833,3,13.7499,13.7499,13.7499,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00023,BASE PER PIZZA 33CM 20PZ,PZ,PZ,1.0,1.454,20,29.08,29.08,29.08,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,SNACKSAL - ,,,,,,,,42.15,42.15,42.15,10,2024,Categoria,CUCINA,CUCINA,FOOD - ,SNACKSAL - 
,,,FOO.SNS.00016,OLIVE DENOCCIOLATE,KG,GR,1000.0,6.5,3,19.5,19.5,19.5,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SNACKSAL - 
,,,FOO.SNS.00018,OLIVE NERE DENOCCIOLATE,KG,GR,1000.0,7.55,3,22.65,22.65,22.65,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SNACKSAL - 
,,SPEZIECO - ,,,,,,,,49.2427,49.2427,49.2427,10,2024,Categoria,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,11,8.9502,8.9502,8.9502,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,,FOO.SPE.00004,PEPERONCINO TRITATO 500GR,KG,GR,1000.0,19.5,0.2,3.9,3.9,3.9,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,,FOO.SPE.00010,SALE FINO 1KG,KG,KG,1.0,0.3942,2,0.7884,0.7884,0.7884,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,,FOO.SPE.00013,KETCHUP 875ML,PZ,PZ,1.0,4.7533,2,9.5067,9.5067,9.5067,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,,FOO.SPE.00014,MAIONESE BIFFI 875ML,PZ,PZ,1.0,5.7412,2,11.4824,11.4824,11.4824,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,,FOO.SPE.00027,SALSA SOIA GR 150,PZ,PZ,1.0,4.1633,3,12.49,12.49,12.49,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,,FOO.SPE.00029,SALSA GRECA 500GR,PZ,PZ,1.0,2.125,1,2.125,2.125,2.125,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,SPEZIECO - 
,,VERDURA - ,,,,,,,,7.0245,7.0245,7.0245,10,2024,Categoria,CUCINA,CUCINA,FOOD - ,VERDURA - 
,,,FOO.VER.00001,CIPOLLA,KG,KG,1.0,1.5472,1,1.5472,1.5472,1.5472,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,VERDURA - 
,,,FOO.VER.00002,AGLIO,KG,KG,1.0,2.9773,1,2.9773,2.9773,2.9773,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,VERDURA - 
,,,FOO.VER.00003,CIPOLLA ROSSA DI TROPEA,KG,KG,1.0,2.5,1,2.5,2.5,2.5,10,2024,Articolo,CUCINA,CUCINA,FOOD - ,VERDURA - 
,PULIZIA - ,,,,,,,,,222.585,222.585,222.585,10,2024,Classe,CUCINA,CUCINA,PULIZIA - ,
,,DETERGEN - ,,,,,,,,185.271,185.271,185.271,10,2024,Categoria,CUCINA,CUCINA,PULIZIA - ,DETERGEN - 
,,,PUL.DET.00007,BRILLANTANTE LAVAST.TOPRINSE ECOLAB 5L,PZ,PZ,1.0,34.8149,1,34.8149,34.8149,34.8149,10,2024,Articolo,CUCINA,CUCINA,PULIZIA - ,DETERGEN - 
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,2,5.0061,5.0061,5.0061,10,2024,Articolo,CUCINA,CUCINA,PULIZIA - ,DETERGEN - 
,,,PUL.DET.00046,DETERSIVO LAVAST. TOPMATIC ECOLAB 25LT,PZ,PZ,1.0,145.45,1,145.45,145.45,145.45,10,2024,Articolo,CUCINA,CUCINA,PULIZIA - ,DETERGEN - 
,,STRPULIZ - ,,,,,,,,37.314,37.314,37.314,10,2024,Categoria,CUCINA,CUCINA,PULIZIA - ,STRPULIZ - 
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,10,25.203,25.203,25.203,10,2024,Articolo,CUCINA,CUCINA,PULIZIA - ,STRPULIZ - 
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,5,12.111,12.111,12.111,10,2024,Articolo,CUCINA,CUCINA,PULIZIA - ,STRPULIZ - 
,VARIE - ,,,,,,,,,77.3474,77.3474,77.3474,10,2024,Classe,CUCINA,CUCINA,VARIE - ,
,,CARTBUSA - ,,,,,,,,54.388,54.388,54.388,10,2024,Categoria,CUCINA,CUCINA,VARIE - ,CARTBUSA - 
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,1,35.5953,35.5953,35.5953,10,2024,Articolo,CUCINA,CUCINA,VARIE - ,CARTBUSA - 
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,5,18.7927,18.7927,18.7927,10,2024,Articolo,CUCINA,CUCINA,VARIE - ,CARTBUSA - 
,,PROCUCIN - ,,,,,,,,22.9594,22.9594,22.9594,10,2024,Categoria,CUCINA,CUCINA,VARIE - ,PROCUCIN - 
,,,VAR.PCU.00004,BUSTE SOTTOVUOTO 15X30 100PZ,CF,PZ,100.0,8.7,1,8.7,8.7,8.7,10,2024,Articolo,CUCINA,CUCINA,VARIE - ,PROCUCIN - 
,,,VAR.PCU.00011,SPAGO PER CUCINA,PZ,PZ,1.0,1.5,1,1.5,1.5,1.5,10,2024,Articolo,CUCINA,CUCINA,VARIE - ,PROCUCIN - 
,,,VAR.PRO.00001,CARTA PELLICOLA CUKI 300MT X8 ROTOLO,PZ,PZ,1.0,6.3797,2,12.7594,12.7594,12.7594,10,2024,Articolo,CUCINA,CUCINA,VARIE - ,PROCUCIN - 
,,,,,,,,,TOTALE,4185.3629,4185.3629,4185.3629,10,2024,Unknown,CUCINA,CUCINA,VARIE - ,PROCUCIN - 
CUCINA,,,,,,,,,,5087.6426,5087.6426,5087.6426,06,2024,Reparto,CUCINA,CUCINA,,
,BEVERAGE - ,,,,,,,,,4.05,4.05,4.05,06,2024,Classe,CUCINA,CUCINA,BEVERAGE - ,
,,VINOBIAN - ,,,,,,,,4.05,4.05,4.05,06,2024,Categoria,CUCINA,CUCINA,BEVERAGE - ,VINOBIAN - 
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,3,4.05,4.05,4.05,06,2024,Articolo,CUCINA,CUCINA,BEVERAGE - ,VINOBIAN - 
,FOOD - ,,,,,,,,,4650.7212,4650.7212,4650.7212,06,2024,Classe,CUCINA,CUCINA,FOOD - ,
,,BURR - ,,,,,,,,29.017,29.017,29.017,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,BURR - 
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,3.2,29.017,29.017,29.017,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,BURR - 
,,CARNEBIA - ,,,,,,,,257.5018,257.5018,257.5018,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,CARNEBIA - 
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,33.274,257.5018,257.5018,257.5018,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,CARNEBIA - 
,,CARNEROS - ,,,,,,,,171.0341,171.0341,171.0341,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,CARNEROS - 
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,8.05,133.2585,133.2585,133.2585,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,CARNEROS - 
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,1.87,21.9356,21.9356,21.9356,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,CARNEROS - 
,,,FOO.CRO.00009,HAMBURGER BLACK ANGUS 200GR,KG,GR,1000.0,14.95,0.6,8.97,8.97,8.97,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,CARNEROS - 
,,,FOO.CRO.00010,HAMBURGER SCOTTONA 200GR,KG,GR,1000.0,11.45,0.6,6.87,6.87,6.87,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,CARNEROS - 
,,CEREALI - ,,,,,,,,-21.2973,-21.2973,-21.2973,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,CEREALI - 
,,,FOO.CER.00008,SESAMO BIANCO,KG,GR,1000.0,12.1622,-0.6,-7.2973,-7.2973,-7.2973,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,CEREALI - 
,,,FOO.CER.00009,SESAMO NERO,KG,GR,1000.0,25.0,-0.56,-14.0,-14.0,-14.0,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,CEREALI - 
,,FARINA - ,,,,,,,,28.0648,28.0648,28.0648,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,FARINA - 
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,22,28.0648,28.0648,28.0648,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FARINA - 
,,FORMAGG - ,,,,,,,,103.8211,103.8211,103.8211,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,FORMAGG - 
,,,FOO.FOR.00006,FIOR DI LATTE,KG,GR,1000.0,7.7734,3.71,28.8393,28.8393,28.8393,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FORMAGG - 
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,5,41.6736,41.6736,41.6736,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FORMAGG - 
,,,FOO.FOR.00015,FORMAGGIO PHILADELPHIA GR 1650,PZ,PZ,1.0,18.8097,1,17.3082,17.3082,17.3082,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FORMAGG - 
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,1,16.0,16.0,16.0,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FORMAGG - 
,,FRUTTFRE - ,,,,,,,,85.077,85.077,85.077,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,FRUTTFRE - 
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,1.52,3.5845,3.5845,3.5845,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTFRE - 
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,14.54,22.8287,22.8287,22.8287,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTFRE - 
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,10.87,17.5627,17.5627,17.5627,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTFRE - 
,,,FOO.FRU.00004,LIME,KG,GR,1000.0,5.1834,3.16,17.5811,17.5811,17.5811,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTFRE - 
,,,FOO.FRU.00007,MELE,KG,GR,1000.0,2.8494,13.6,19.02,19.02,19.02,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTFRE - 
,,,FOO.FRU.00011,FRAGOLE,KG,GR,1000.0,4.5,1,4.5,4.5,4.5,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTFRE - 
,,FRUTTSEC - ,,,,,,,,30.0,30.0,30.0,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,FRUTTSEC - 
,,,FOO.FRS.00003,PINOLI,KG,GR,1.0,65.0,0.4,26.0,26.0,26.0,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTSEC - 
,,,FOO.FRS.00007,MANDORLE,KG,GR,1000.0,20.0,0.2,4.0,4.0,4.0,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,FRUTTSEC - 
,,GELATVAS - ,,,,,,,,17.7688,17.7688,17.7688,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,GELATVAS - 
,,,FOO.GVA.00001,GELATO VANIGLIA IN VASCHETTA,KG,GR,1000.0,5.6769,3.13,17.7688,17.7688,17.7688,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,GELATVAS - 
,,LATTICIN - ,,,,,,,,236.25,236.25,236.25,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,LATTICIN - 
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,30,225.0,225.0,225.0,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,LATTICIN - 
,,,FOO.LAT.00007,BOCCONCINI 70GR,KG,GR,1000.0,7.5,1.5,11.25,11.25,11.25,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,LATTICIN - 
,,OLIO - ,,,,,,,,448.0081,448.0081,448.0081,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,OLIO - 
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,85,109.3893,109.3893,109.3893,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,OLIO - 
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,35,338.6188,338.6188,338.6188,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,OLIO - 
,,ORTAGGI - ,,,,,,,,487.2865,487.2865,487.2865,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00001,MENTA FRESCA,KG,GR,1000.0,9.8864,0.1,0.3525,0.3525,0.3525,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,40.94,55.9108,55.9108,55.9108,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,4.7,6.9419,6.9419,6.9419,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00005,SEDANO,KG,KG,1.0,4.8487,1.25,2.0448,2.0448,2.0448,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,6.88,39.2762,39.2762,39.2762,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,22.6,31.7093,31.7093,31.7093,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,7,35.0,35.0,35.0,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,49.29,126.6914,126.6914,126.6914,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,8,9.9556,9.9556,9.9556,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00011,ASPARAGI,KG,GR,1000.0,6.0,0.43,2.58,2.58,2.58,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00012,PREZZEMOLO,KG,GR,1000.0,5.0,2.57,12.2075,12.2075,12.2075,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,16.57,25.0301,25.0301,25.0301,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00014,POMODORINI DATTERINI GIALLI,KG,GR,1000.0,3.6257,9.4,32.9483,32.9483,32.9483,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00015,LATTUGA,PZ,PZ,1.0,1.0714,1,1.0,1.0,1.0,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.00018,CETRIOLI,KG,GR,1000.0,1.6287,17.7,26.55,26.55,26.55,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.0008,ZUCCHINE,KG,KG,1.0,2.4,10.7,13.4954,13.4954,13.4954,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,55,65.5927,65.5927,65.5927,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,ORTAGGI - 
,,PANE - ,,,,,,,,98.3,98.3,98.3,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,PANE - 
,,,FOO.PAN.00012,PANE PELATONE 12X12 33FETTEX6 CF,CF,CF,1.0,13.6,2,27.2,27.2,27.2,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PANE - 
,,,FOO.PAN.00020,PANINI BUN PER HAMBURGHER 230GR,KG,GR,1000.0,7.6421,7.9,71.1,71.1,71.1,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PANE - 
,,PASTAFRE - ,,,,,,,,180.333,180.333,180.333,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,PASTAFRE - 
,,,FOO.PSF.00001,SCIALATIELLI ARTIGIANALI GELO,KG,GR,1000.0,3.6,9.55,34.38,34.38,34.38,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTAFRE - 
,,,FOO.PSF.00002,GNOCCHI DI PATATE ARTIGIANALI GELO,KG,GR,1000.0,2.8,12.51,35.028,35.028,35.028,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTAFRE - 
,,,FOO.PSF.00003,RAVIOLI CAPRESI ARTIGIANALI GELO,KG,GR,1000.0,7.5,14.79,110.925,110.925,110.925,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTAFRE - 
,,PASTAGRA - ,,,,,,,,20.3363,20.3363,20.3363,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,PASTAGRA - 
,,,FOO.PST.00008,PASTA SPAGHETTI GLUTEN FREE,KG,KG,1.0,5.6656,1,4.51,4.51,4.51,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTAGRA - 
,,,FOO.PST.00009,PASTA RIGATONI GLUTEN FREE,KG,KG,1.0,5.4493,1.2,5.412,5.412,5.412,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTAGRA - 
,,,FOO.PST.00011,PASTA SPAGHETTONI GRAGNANESI 500GR,KG,GR,1000.0,3.8,1,3.8,3.8,3.8,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTAGRA - 
,,,FOO.PST.00012,PASTA MEZZE MANICHE RIGATE 500GR,KG,GR,1000.0,3.3603,2.5,6.6143,6.6143,6.6143,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTAGRA - 
,,PASTICCE - ,,,,,,,,62.73,62.73,62.73,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,PASTICCE - 
,,,FOO.PPP.00008,TUORLO D'UOVO 1LT,LT,LT,1.0,7.0,3,21.93,21.93,21.93,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTICCE - 
,,,FOO.PPP.00019,PANNA HOPLA 1 LT,LT,CL,100.0,3.2,1,3.2,3.2,3.2,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTICCE - 
,,,FOO.PPP.00022,MASCARPONE 500GR,KG,GR,1.0,9.6833,4,37.6,37.6,37.6,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PASTICCE - 
,,PESCEFRE - ,,,,,,,,1307.7453,1307.7453,1307.7453,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,,FOO.PES.00008,COZZE ITALIA,KG,GR,1000.0,3.5,22.56,78.9758,78.9758,78.9758,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,,FOO.PES.00009,VONGOLE ITALIA,KG,GR,1000.0,19.5,25.01,446.2669,446.2669,446.2669,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,,FOO.PES.00010,CANNOLICCHI FRANCIA/OLANDA,KG,GR,1000.0,12.0,1.71,20.52,20.52,20.52,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,,FOO.PES.00011,FASOLARE,KG,GR,1000.0,11.0183,15.82,174.02,174.02,174.02,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,,FOO.PES.00013,ALICI LOCALI,KG,GR,1000.0,7.7284,8.22,60.9005,60.9005,60.9005,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,,FOO.PES.00014,SPIGOLA  A,KG,GR,1000.0,22.5558,14.03,389.1629,389.1629,389.1629,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,,FOO.PES.00015,TONNO FILETTO PINNA GIALLA SV,KG,GR,1000.0,20.0,7.698,137.8992,137.8992,137.8992,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCEFRE - 
,,PESCESUR - ,,,,,,,,450.9426,450.9426,450.9426,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,PESCESUR - 
,,,FOO.PES.00004,POLPO T5 MAROCCO GELO,KG,GR,1000.0,13.1174,6.29,81.77,81.77,81.77,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCESUR - 
,,,FOO.PES.00005,SEPPIA PULITA 1/2 GELO,KG,GR,1000.0,9.2578,22.56,190.5703,190.5703,190.5703,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCESUR - 
,,,FOO.PES.00006,MAZZANCOLLE 80/100 KG 1,KG,GR,1000.0,6.8,1,6.8,6.8,6.8,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCESUR - 
,,,FOO.PES.00007,MAZZANCOLLE 40/60 KG 1,KG,GR,1000.0,10.5,3,31.5,31.5,31.5,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCESUR - 
,,,FOO.PES.00012,CALAMARI PULITI U5 IQF,KG,GR,1000.0,12.1796,11.03,114.2623,114.2623,114.2623,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCESUR - 
,,,FOO.PES.00016,SALMONE AFFUMICATO GELO,KG,GR,1000.0,33.5247,0.8,26.04,26.04,26.04,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,PESCESUR - 
,,SALUMI - ,,,,,,,,276.3346,276.3346,276.3346,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,SALUMI - 
,,,FOO.SAL.00007,PROSCIUTTO CRUDO DOLCE CUORE,KG,GR,1000.0,9.7825,11.4,153.9,153.9,153.9,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SALUMI - 
,,,FOO.SAL.00009,BRESAOLA,KG,GR,1000.0,27.1163,4.5,122.4346,122.4346,122.4346,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SALUMI - 
,,SCATOLAM - ,,,,,,,,124.4049,124.4049,124.4049,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00006,PASSATA DI POMODORO POMILIA 700GRX12,PZ,PZ,1.0,1.1271,24,27.051,27.051,27.051,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00015,"PELATI 2,5KG",PZ,PZ,1.0,1.5428,29,77.3339,77.3339,77.3339,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,,FOO.SCA.00016,POMODORINI DATTERINI PIENNOLO,KG,GR,1000.0,5.8857,3.85,20.02,20.02,20.02,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SCATOLAM - 
,,SEMILSAL - ,,,,,,,,208.9998,208.9998,208.9998,06,2024,Categoria,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00010,FRITTO MISTO 6KG,KG,KG,1.0,7.179,27,154.6471,154.6471,154.6471,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00016,"PATATE SURGELATE STICK 2,5KG X 4PZ",KG,GR,1000.0,2.1822,18.42,38.7527,38.7527,38.7527,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00019,"PATATE DIPPERS 2,5 KG X 4 PZ",KG,GR,1000.0,2.8698,2.5,6.8,6.8,6.8,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
,,,FOO.SSA.00020,"PIZZA MARGHERITA 1,2KGX4PZ",PZ,PZ,1.0,6.5308,2,8.8,8.8,8.8,06,2024,Articolo,CUCINA,CUCINA,FOOD - ,SEMILSAL - 
