Codice,Descrizione,Valore
ACQDIREZIONE,ACQUISTI DIREZIONE,2201.75
ACQNETTO,ACQUISTO SUPERMERCATO NETTO,700.94
FOO.FRU.00012,KIWI,374.7183
FOO.FRU.00008,ANGURIA,327.9068
PUL.DET.00043,DASH LIQUIDO 4LTX2,176.0
FOO.PES.0003,ROMBO,150.0
FOO.FRU.00013,PESCHE GIALLE,88.91
FOO.FOR.00009,PROVOLONE DEL MONACO,86.0
FOO.FRU.00001,ANANAS,83.78739999999999
PUL.DET.00041,DETERGENTE PAVIMENTI POM SUMMER 5KGX4,78.0733
