Codice,Descrizione,Valore
FOO.CRO.00002,LONZA DI MAIALE,64.5
FOO.FAR.00003,FARINA DI MANDORLE 1KG,22.0
FOO.PST.00014,GNOCCHI DI PATATE KG 1,13.6
