Codice,Descrizione,Valore
VAR.PPP.00008,CLORO LIQUIDO 20 LT,828.2
VAR.PPP.00006,ANTI ALGHE DESALGINE 10LT,67.42519999999999
VAR.PPP.00009,ANTI ALGHE POOL ALGA-NO KG 25,0.0
VAR.PPP.00010,CLORO LIQUIDO KG 25,0.0
