Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANCVM,,,,,,,,,,1.62,1.62
,MANUTENZ - ,,,,,,,,,1.62,1.62
,,STRMAN - ,,,,,,,,1.62,1.62
,,,MAN.SMA.00001,DUPLICATO CHIAVI,PZ,PZ,1.0,1.23,2,1.62,1.62
,,,,,,,,,TOTALE,1.62,1.62
