Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
,,,FOO.SDO.00021,CORNETTO PRINCIPINO MARMELLATA 35GRX85PZ,PZ,PZ,1.0,0.3271,720,235.5017,235.5017
,,,FOO.SDO.00022,CORNETTO VEG PRINCIPINO CEREAL 35GRX100P,PZ,PZ,1.0,0.345,20,6.9,6.9
,,,FOO.SDO.00023,CORNETTO GF CACAO NOCCIOLE 100GRX12PZ,PZ,PZ,1.0,2.8662,9,25.7961,25.7961
,,,FOO.SDO.00024,CORNETTO GF ALBICOCCA 100GRX12PZ,PZ,PZ,1.0,2.9,8,23.2,23.2
,,,FOO.SDO.00028,PLUMCAKE ARTIGIANALE AL LIMONE 800 GR,PZ,PZ,1.0,11.6737,19,221.7996,221.7996
,,,FOO.SDO.00029,TORTA  ARTIGIANALE ALLE MELE 1 KG,PZ,PZ,1.0,15.0679,12,180.8147,180.8147
,,,FOO.SDO.00031,CONFETTURA CILIEGIA 900GRX6PZ,PZ,PZ,1.0,3.1552,2,6.3104,6.3104
,,,FOO.SDO.00032,CONFETTURA FRAGOLA 900GRX6PZ,PZ,PZ,1.0,6.0311,3,18.0933,18.0933
,,,FOO.SDO.00033,CONFETTURA ALBICOCCA 900GRX6PZ,PZ,PZ,1.0,6.95,1,6.95,6.95
,,,FOO.SDO.00034,CONFETTURA PESCA 900GRX6PZ,PZ,PZ,1.0,4.0981,1,4.0981,4.0981
,,,FOO.SDO.00035,MIELE 900GRX6PZ,PZ,PZ,1.0,10.0,1,10.0,10.0
,,,FOO.SDO.00036,SCIROPPO D'ACERO 900GRX6PZ,PZ,PZ,1.0,7.5,2,15.0,15.0
,,,FOO.SDO.00037,CONFETTURA FRUTTI DI BOSCO 900GRX6PZ,PZ,PZ,1.0,6.4808,2,12.9616,12.9616
,,,FOO.SDO.00042,BISCOTTI GRAN MERENDA 500GR,CF,CF,1.0,2.3517,2,4.7033,4.7033
,,,FOO.SDO.00044,BURRO DI ARACHIDI 800GRX6PZ,PZ,PZ,1.0,16.2484,1,16.2484,16.2484
,,,FOO.SDO.00047,PANCAKE PREPARATO MACCHINA GR 730,PZ,PZ,1.0,12.5,26,325.0,325.0
,,SEMILSAL - ,,,,,,,,375.8666,375.8666
,,,FOO.SSA.00011,"PANINI ALPE ADRIA MIX 3,5GRX2,7KG",KG,KG,1.0,9.5185,25.94,246.9103,246.9103
,,,FOO.SSA.00012,PATATE SURGELATE LA RISSOLEE GR.700,PZ,PZ,1.0,2.114,61,128.9563,128.9563
,,SPEZIECO - ,,,,,,,,68.5813,68.5813
,,,FOO.MON.00003,KETCHUP BUSTINE,CF,CF,1.0,10.383,2,20.766,20.766
,,,FOO.MON.00006,ACETO DI VINO BIANCO BUSTINE,CF,CF,1.0,14.9079,1,14.9079,14.9079
,,,FOO.SPE.00008,OLIO EXTRA VERGINE BUSTINE,CF,CF,1.0,16.4537,2,32.9074,32.9074
,,UOVA - ,,,,,,,,812.3062,812.3062
,,,FOO.UOV.00001,UOVA FRESCHE L CAT. A X 180PZ,PZ,PZ,1.0,0.185,4622,812.3062,812.3062
,,YOGURT - ,,,,,,,,157.05,157.05
,,,FOO.YOG.00002,YOGURT BIANCO KG.5,PZ,PZ,1.0,10.47,15,157.05,157.05
,VARIE - ,,,,,,,,,658.5993,658.5993
,,CARTBUSA - ,,,,,,,,50.6408,50.6408
,,,VAR.CAR.00016,BUSTE SHOPPER BIANCHE 400PZ (COLAZIONI),PZ,PZ,1.0,0.1345,52,6.994,6.994
,,,VAR.CAR.00017,CENTRINI MERLETTATI RETTANG 20X30 250PZ,CF,PZ,250.0,5.5,1,5.5,5.5
,,,VAR.CAR.00018,SACCHETTI BIANCHI BREAKFAST 17X34 10KG,KG,KG,0.0,1.4312,1.5,2.1468,2.1468
,,,VAR.CAR.00021,CENTRINI MERLETTATI RETTANGO 30X40 250PZ,CF,PZ,250.0,11.0,1,11.0,11.0
,,,VAR.CAR.00022,CENTRINI MERLETTATI OVALI 30X31 250PZ,CF,PZ,250.0,12.5,2,25.0,25.0
,,MONOUSO - ,,,,,,,,553.4074,553.4074
,,,VAR.MON.00001,TOVAGLIOLI TNT POKET AZZ40X35(16CFX60PZ),CF,CF,1.0,5.3125,26,138.125,138.125
,,,VAR.MON.00005,TOVAGLIOLO TNT 40X40 (16CFX50PZ),CF,CF,1.0,3.6749,15,55.1235,55.1235
,,,VAR.MON.00017,BIS POSATE PLASTICA 1CFX100PZ,CF,CF,1.0,8.2608,1,8.2608,8.2608
,,,VAR.MON.00024,SALVALIQUIDI RETTANGOLARI GR750 1CFX50PZ,PZ,PZ,1.0,0.22,68,14.96,14.96
,,,VAR.MON.00029,TOVAGLIE 100X100 BIANCHE 4CFX25PZ,CF,CF,1.0,11.875,12,142.5,142.5
,,,VAR.MON.00031,COPERCHI PER BICCHIERI CAPPUCC. 1CFX30PZ,CF,PZ,30.0,4.2,1,4.2,4.2
,,,VAR.MON.00032,TOVAGLIOLI TNT POKET AZZ40X35(16CFX50PZ),CF,CF,1.0,4.0476,47,190.2381,190.2381
,,PROCUCIN - ,,,,,,,,34.3511,34.3511
,,,VAR.PRO.00001,CARTA PELLICOLA CUKI 300MT X8 ROTOLO,PZ,PZ,1.0,6.3797,3,19.1391,19.1391
,,,VAR.PRO.00002,CARTA  ALLUMINIO 330MM X 125MT ROTOLO,PZ,PZ,1.0,7.606,2,15.212,15.212
,,RICECONS - ,,,,,,,,20.2,20.2
,,,VAR.RIC.00011,NASTRO TEFLON RICAMBIO MACCHINA,PZ,PZ,1.0,20.2,1,20.2,20.2
,,,,,,,,,TOTALE,13749.4357,13749.4357
