Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
,,,FOO.MON.00010,NUTELLA MONO 15GRX120PZ,PZ,PZ,1.0,0.1801,1440,259.4304,259.4304
,,,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1.0,1.2315,1,1.2315,1.2315
,,ORTAGGI - ,,,,,,,,719.0926,719.0926
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,227.2,569.3654,569.3654
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,104,129.9272,129.9272
,,,FOO.ORT.00016,POMODORI SORRENTO,KG,GR,1000.0,1.6366,9,19.8,19.8
,,PANE - ,,,,,,,,395.3071,395.3071
,,,FOO.PAN.00001,PANE BIANCO IN CASSETTA GR.400,CF,CF,1.0,1.1831,98,115.64,115.64
,,,FOO.PAN.00002,PANE INTEGRALE IN CASSETTA  GR 400,CF,CF,1.0,1.18,73,86.1671,86.1671
,,,FOO.PAN.00003,PANE CIABATTA,KG,KG,1.0,3.0,61.5,184.5,184.5
,,,FOO.PAN.00017,PANFETTE GLUTEEN FREE GR 75 X 20PZ,PZ,PZ,1.0,1.8,6,9.0,9.0
,,PASTICCE - ,,,,,,,,130.4884,130.4884
,,,FOO.PPP.00010,"BURRO PER DOLCI 2,5KG",KG,KG,1.0,6.669,4.7,31.3443,31.3443
,,,FOO.PPP.00011,MIELE 10KG,KG,GR,1.0,5.9534,2,11.9068,11.9068
,,,FOO.PPP.00013,CIOCCOLATO FONDENTE,KG,KG,1.0,11.4188,1,13.3375,13.3375
,,,FOO.PPP.00014,CACAO,KG,KG,1.0,12.0,4,63.2268,63.2268
,,,FOO.PPP.00015,ZUCCHERO A VELO 5KG,KG,KG,1.0,1.642,6.5,10.673,10.673
,,SALUMI - ,,,,,,,,1825.5806,1825.5806
,,,FOO.SAL.00001,MORTADELLA IGP,KG,KG,1.0,6.7412,14.9,99.448,99.448
,,,FOO.SAL.00003,SALAME MILANO FIORUCCI,KG,KG,1.0,11.6723,16.1,181.2617,181.2617
,,,FOO.SAL.00004,PETTO DI TACCHINO FERRARINI,KG,KG,1.0,13.9696,42.6,515.8048,515.8048
,,,FOO.SAL.00005,PANCETTA / BACON,KG,KG,1.0,10.8796,63.715,706.5937,706.5937
