Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
,,,BEV.VIN.00030,CAPITIROSE TRAMONTI 75 CL,BT,BT,1.0,11.0,4,44.0,44.0
,,VINOROSS - ,,,,,,,,39.9,39.9
,,,BEV.VIN.00026,MONTEPULCIANO D'ABRUZZO 75 CL,BT,BT,1.0,7.3,3,21.9,21.9
,,,BEV.VIN.00027,MONTECORVO DOC 75 CL,BT,BT,1.0,18.0,1,18.0,18.0
,,VODKA - ,,,,,,,,24.72,24.72
,,,BEV.VOD.00001,VODKA ABSOLUT,LT,CL,100.0,16.7793,1.5,24.72,24.72
,FOOD - ,,,,,,,,,186.598,186.598
,,FRUTTFRE - ,,,,,,,,8.1872,8.1872
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,3,5.2931,5.2931
,,,FOO.FRU.00004,LIME,KG,GR,1000.0,5.1834,0.6,2.8941,2.8941
,,OLIO - ,,,,,,,,14.4,14.4
,,,FOO.OLI.00004,OLIO DI OLIVA TORIELLO CL 250,PZ,PZ,1.0,4.8,3,14.4,14.4
,,ORTAGGI - ,,,,,,,,15.4116,15.4116
,,,FOO.ORT.00001,MENTA FRESCA,KG,GR,1000.0,9.8864,1.66,15.4116,15.4116
,,PANE - ,,,,,,,,50.1174,50.1174
,,,FOO.PAN.00008,PANINI FARINA BIANCA GR 40,KG,GR,1000.0,4.5067,5.58,25.1267,25.1267
,,,FOO.PAN.00009,PANINI INTEGRALI GR 40,KG,GR,1000.0,4.5067,4.15,18.6907,18.6907
,,,FOO.PAN.00011,PANINI AI CEREALI GR 40,KG,GR,1000.0,4.5,1.4,6.3,6.3
,,SNACKSAL - ,,,,,,,,88.3618,88.3618
,,,FOO.SNS.00001,PATATINE PER APERITIVO,PZ,PZ,1.0,4.4127,20,60.6786,60.6786
,,,FOO.SNS.00002,TARALLI,KG,GR,1000.0,4.0042,2,4.6353,4.6353
,,,FOO.SNS.00003,OLIVE VERDI,KG,KG,1.0,6.995,3.2,23.0479,23.0479
,,SPEZIECO - ,,,,,,,,10.12,10.12
,,,FOO.SPE.00022,ACETO BALSAMICO MANICARDI CL 250,PZ,PZ,1.0,3.0,3,9.0,9.0
,,,FOO.SPE.00023,PEPE IN GRANI KG 1,KG,GR,1000.0,14.0,0.08,1.12,1.12
,,,,,,,,,TOTALE,813.7418,813.7418
