Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,0.5,1.4627,1.4627
,,ORTAGGI - ,,,,,,,,9.3816,9.3816
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,0.5,1.5146,1.5146
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,1,4.183,4.183
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,2,2.422,2.422
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,1,1.262,1.262
,,PANE - ,,,,,,,,32.0,32.0
,,,FOO.PAN.00015,PANINI 100GR,KG,GR,1000.0,4.0,7.5,30.0,30.0
,,,FOO.PAN.00019,PANE FRESELLE GR 300X12PZ,PZ,PZ,1.0,1.0,2,2.0,2.0
,,SEMILDOL - ,,,,,,,,7.704,7.704
,,,FOO.SDO.00003,CORNETTO GLASSATO CIOCCOLATO 90GRX50PZ,PZ,PZ,1.0,0.666,6,3.996,3.996
,,,FOO.SDO.00050,CORNETTO GLASSATO MARMELLATA GR 90XPZ50,PZ,PZ,1.0,0.618,6,3.708,3.708
,,SEMILSAL - ,,,,,,,,99.4747,99.4747
,,,FOO.SSA.00007,"ARANCINO AL SUGO 130GR 2,5KGX2CF",KG,KG,1.0,9.28,4,37.12,37.12
,,,FOO.SSA.00015,"CROCCHE EXTRA GR 130 2X2,5 KG",KG,KG,1.0,9.42,1,9.42,9.42
,,,FOO.SSA.00020,"PIZZA MARGHERITA 1,2KGX4PZ",PZ,PZ,1.0,6.5308,6,39.1848,39.1848
,,,FOO.SSA.00021,FOCACCIA CAPRESE 360GRX6PZ,PZ,PZ,1.0,4.5833,3,13.7499,13.7499
,,SNACKSAL - ,,,,,,,,19.5367,19.5367
,,,FOO.SNS.00004,PATATINE PRINGLES ORIGINAL 12PZ,PZ,PZ,1.0,1.0988,4,4.3952,4.3952
,,,FOO.SNS.00005,PATATINE PRINGLES PAPRIKA 12PZ,PZ,PZ,1.0,1.0988,5,5.494,5.494
,,,FOO.SNS.00008,PATATINE CIPSTER 35GR X 22PZ,PZ,PZ,1.0,0.7273,2,1.4546,1.4546
