Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,78,448.0632,448.0632
,,VINOBIAN - ,,,,,,,,62.7,62.7
,,,BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,BT,CL,0.75,3.3,19,62.7,62.7
,,VINOROSS - ,,,,,,,,3.3,3.3
,,,BEV.VIN.00004,VINO ROSSO SAMMARCO 75 CL,BT,CL,0.75,3.3,1,3.3,3.3
,FOOD - ,,,,,,,,,5606.6406,5606.6406
,,FORMAGG - ,,,,,,,,86.3642,86.3642
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,3,48.0,48.0
,,,FOO.FOR.00018,FORMAGGIO FETA CUBETTATA GR 15O,PZ,PZ,1.0,2.9727,13,38.3642,38.3642
,,FRUTTFRE - ,,,,,,,,39.3513,39.3513
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,2,3.2865,3.2865
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,3,5.5792,5.5792
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,27,30.4856,30.4856
,,GELATCON - ,,,,,,,,1829.7008,1829.7008
,,,FOO.GCO.00001,GELATO CORNETTO CLASSICO 1CTX24PZ,PZ,PZ,1.0,1.64,109,178.76,178.76
,,,FOO.GCO.00002,GELATO CORNETTO CUORE DI CIALDA 1CTX14PZ,PZ,PZ,1.0,1.7062,16,24.6199,24.6199
,,,FOO.GCO.00003,GELATO CORNETTO CHOC 'N' BALL 1CTX20PZ,PZ,PZ,1.0,1.7607,41,70.7803,70.7803
,,,FOO.GCO.00004,GELATO MAGNUM CLASSICO 1CTX20PZ,PZ,PZ,1.0,1.715,52,89.18,89.18
,,,FOO.GCO.00005,GELATO MAGNUM BIANCO 1CTX20PZ,PZ,PZ,1.0,1.715,72,123.48,123.48
,,,FOO.GCO.00006,GELATO MAGNUM INTENSE COFFEE 1CTX20PZ,PZ,PZ,1.0,1.715,35,60.025,60.025
,,,FOO.GCO.00007,GELATO MAGNUM BOMBONIERA 1CTX20PZ,PZ,PZ,1.0,2.254,44,99.176,99.176
,,,FOO.GCO.00008,GELATO MAGNUM DOUBLE CARAMEL 1CTX20PZ,PZ,PZ,1.0,1.86,56,104.16,104.16
,,,FOO.GCO.00009,GELATO MAGNUM EUPHORIA 1CTX20PZ,PZ,PZ,1.0,1.86,51,94.86,94.86
,,,FOO.GCO.00010,GELATO MAGNUM WONDER 1CTX20PZ,PZ,PZ,1.0,1.86,18,33.48,33.48
,,,FOO.GCO.00011,GELATO MAGNUM CHILL 1CTX20PZ,PZ,PZ,1.0,1.86,39,72.54,72.54
,,,FOO.GCO.00012,GELATO PAN DI STELLE 1CTX25PZ,PZ,PZ,1.0,1.7152,8,13.7216,13.7216
,,,FOO.GCO.00015,GELATO GOCCIOLE 1CTX25PZ,PZ,PZ,1.0,1.7152,40,68.608,68.608
,,,FOO.GCO.00016,GELATO CROCCANTE AMARENA 1CTX32PZ,PZ,PZ,1.0,1.19,53,63.07,63.07
,,,FOO.GCO.00017,GELATO FIOR DI FRAGOLA 1CTX36PZ,PZ,PZ,1.0,1.19,102,121.38,121.38
