Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
,,,FOO.SDO.00045,TIRAMISU MONOPORZIONE ARTIGIANALE,PZ,PZ,1.0,2.5,10,25.0,25.0
,,,FOO.SDO.00046,DELIZIA A LIMONE MONOPORZIONE ARTIGIANAL,PZ,PZ,1.0,2.5,10,25.0,25.0
,,SEMILSAL - ,,,,,,,,0.848,0.848
,,,FOO.SSA.00016,"PATATE SURGELATE STICK 2,5KG X 4PZ",KG,GR,1000.0,2.1822,0.4,0.848,0.848
,,SPEZIECO - ,,,,,,,,14.1836,14.1836
,,,FOO.SPE.00010,SALE FINO 1KG,KG,KG,1.0,0.3942,2,0.63,0.63
,,,FOO.SPE.00017,SALE GROSSO 1KG,KG,KG,1.0,0.3974,1.44,0.4536,0.4536
,,,FOO.SPE.00026,SALSA SOIA LT 1,LT,CL,100.0,9.0,1,9.0,9.0
,,,FOO.SPE.00027,SALSA SOIA GR 150,PZ,PZ,1.0,4.1633,1,4.1,4.1
,,VERDURA - ,,,,,,,,3.6787,3.6787
,,,FOO.VER.00002,AGLIO,KG,KG,1.0,2.9773,0.64,3.6787,3.6787
,PULIZIA - ,,,,,,,,,33.5977,33.5977
,,DETERGEN - ,,,,,,,,8.2212,8.2212
,,,PUL.DET.00022,SAPONE MANI PER DISPENSE TORK 100MLX6PZ,PZ,PZ,1.0,8.402,1,8.2212,8.2212
,,STRPULIZ - ,,,,,,,,25.3765,25.3765
,,,PUL.STR.00001,PALETTA CON MANICO,PZ,PZ,1.0,2.4304,1,1.24,1.24
,,,PUL.STR.00005,BASTONE PER SCOPA,PZ,PZ,1.0,1.229,1,0.8584,0.8584
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,2,0.578,0.578
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,9,20.0791,20.0791
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,1,2.621,2.621
,VARIE - ,,,,,,,,,76.2842,76.2842
,,CARTBUSA - ,,,,,,,,51.5,51.5
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,1,44.0,44.0
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,2,7.5,7.5
,,PROCUCIN - ,,,,,,,,24.7842,24.7842
,,,VAR.PCU.00002,"CARTA FORNO CUKI MT 9,5",PZ,PZ,1.0,1.179,4,4.716,4.716
,,,VAR.PCU.00003,CARTA FORNO 40X60 FOGLI,CF,CF,1.0,6.5707,2,14.25,14.25
,,,VAR.PRO.00001,CARTA PELLICOLA CUKI 300MT X8 ROTOLO,PZ,PZ,1.0,6.3797,1,5.8182,5.8182
,,,,,,,,,TOTALE,1734.5781,1734.5781
